id,value
flare.root.PhysicalEntity100001930,2822490
flare.PhysicalEntity100001930.Object100002684,2720460
flare.Object100002684.Whole100003553,2061273
flare.Whole100003553.LivingThing100004258,1366067
flare.LivingThing100004258.Organism100004475,1365760
flare.PhysicalEntity100001930.CausalAgent100007347,1229051
flare.root.Person100007846,1216440
flare.root.Abstraction100002137,1079890
flare.root.YagoGeoEntity,989272
flare.root.Artifact100021939,689249
flare.YagoGeoEntity.Location100027167,644115
flare.Object100002684.Location100027167,644115
flare.Location100027167.Region108630985,620586
flare.Region108630985.District108552138,497592
flare.District108552138.AdministrativeDistrict108491826,468228
flare.Region108630985.GeographicalArea108574314,455794
flare.Abstraction100002137.Group100031264,421838
flare.Abstraction100002137.PsychologicalFeature100023100,407890
flare.Group100031264.SocialGroup107950920,373140
flare.PsychologicalFeature100023100.Event100029378,336611
flare.root.Organization108008335,333269
flare.Person100007846.Contestant109613191,329884
flare.GeographicalArea108574314.Tract108673395,297711
flare.Contestant109613191.Athlete109820263,274439
flare.Tract108673395.Site108651247,273147
flare.Artifact100021939.Instrumentality103575240,266889
flare.Contestant109613191.Player110439851,249471
flare.Person100007846.Leader109623038,248122
flare.Person100007846.Creator109614315,220621
flare.Person100007846.Intellectual109621545,197176
flare.Intellectual109621545.Scholar110557854,192128
flare.Person100007846.Communicator109610660,189783
flare.Instrumentality103575240.Medium106254669,186057
flare.Person100007846.Worker109632518,176997
flare.Creator109614315.Artist109812338,176040
flare.Event100029378.SocialEvent107288639,175404
flare.Abstraction100002137.Communication100033020,171596
flare.Scholar110557854.Alumnus109786338,162136
flare.Event100029378.Act100030358,159783
flare.Artifact100021939.Creation103129123,154294
flare.Organization108008335.Institution108053576,153363
flare.Worker109632518.SkilledWorker110605985,151864
flare.Artifact100021939.Structure104341686,150248
flare.YagoGeoEntity.Structure104341686,150248
flare.Person100007846.Adult109605289,149071
flare.Player110439851.FootballPlayer110101634,148240
flare.Athlete109820263.FootballPlayer110101634,148240
flare.Creation103129123.Product104007894,146797
flare.Person100007846.Entertainer109616922,145681
flare.Entertainer109616922.Performer110415638,144036
flare.Communicator109610660.Writer110794014,135444
flare.GeographicalArea108574314.UrbanArea108675967,134836
flare.AdministrativeDistrict108491826.Municipality108626283,134734
flare.UrbanArea108675967.Municipality108626283,134734
flare.GeographicalArea108574314.Settlement108672562,121358
flare.Settlement108672562.Village108672738,121358
flare.Medium106254669.Album106591815,115198
flare.Organism100004475.Animal100015388,114425
flare.Artifact100021939.Facility103315023,108658
flare.YagoGeoEntity.Facility103315023,108658
flare.SocialEvent107288639.Show106619065,108426
flare.root.Building102913152,103030
