id,value
flare,
flare.Sandwich107695965,178
flare.Spice115050011,101
flare.Grasping100812274,61
flare.WrittenAgreement106771653,2668
flare.PressPhotographer110469874,13
flare.Threadfin102610980,319
flare.Riot101170502,1020
flare.Evaluation105736149,176
flare.Cable106275095,218
flare.Mayfly102262449,74
flare.Guest110150940,151
flare.Beautician109845999,20
flare.ResearchCenter104077889,86
flare.Demographic106022076,552
flare.Cigarette103030663,50
flare.Viscountess110756061,67
flare.Bowler109870096,35
flare.Royalty108153437,217
flare.Growth114234074,170
flare.Feat100036762,273
flare.WorkingGroup108408900,46
flare.Column103074380,100
flare.Chicken107644967,13
flare.Security114539268,83
flare.Affricate107118990,27
flare.Brew107886572,103
flare.Airport102692232,14425
flare.Pelycosaur101721898,47
flare.Watch104555897,90
flare.Patriarch110406905,1085
flare.Holiday115183428,970
flare.Kicker110230580,467
flare.State108168978,7013
flare.Photojournalist110427223,769
flare.Transducer104470953,178
flare.Colossus109938991,58
flare.Clue106643763,632
flare.Interrupt111447532,17
flare.FricativeConsonant107118554,40
flare.Newsletter106681976,17
flare.Organization101136519,136
flare.PrivyCouncil108311687,22
flare.Slope109437454,355
flare.Energy114050143,211
flare.Evangelist110067011,556
flare.Portraitist110455619,1135
flare.AlterEgo109785992,25
flare.StringedInstrument104338517,741
flare.Tunnel104497962,1009
flare.MaleAristocrat110285135,23535
flare.CoralReef109256479,493
flare.Degree105093890,136
flare.Summit108312359,64
flare.ProfessionalAssociation108242675,1344
flare.Aviation108433727,220
flare.Award106696483,16543
flare.Elite108386555,813
flare.Cycle115287830,168
flare.MolecularFormula106817173,3327
flare.Compiler109946957,1348
flare.Tract108673395,297711
flare.Oldster110376523,2664
flare.Hit100043902,54
flare.Reaction100859001,83
flare.Recommendation106671637,172
flare.Invention105633385,952
flare.Lobster101982650,35
flare.IgneousRock114931879,188
flare.Spectrograph104272782,14
flare.TaxForm106476384,13
flare.HumanRight105176846,1385
flare.RotatingMechanism104110955,15
flare.Use100947128,943
flare.Juggler110226413,74
flare.Flamethrower103356559,25
flare.Cooperation101202904,148
flare.Bromide114785625,124
flare.Steamboat104308807,91
flare.Night115167027,14
flare.MuzzleLoader103803116,32
flare.Telescope104403638,401
flare.Privateer110476928,204
flare.PoliceDepartment108121542,385
flare.NavalUnit108191532,68
flare.Spring109443453,360
flare.ConcertHall103086580,363
flare.Dragoman110029429,35
flare.Dean109996784,2165
flare.IonizingRadiation111437577,15
flare.Bird101503061,9975
flare.Dock103217191,96
flare.FungalInfection114176895,143
flare.Resignation107542433,13
flare.SteelCompany108003839,298
flare.Church103028079,18898
flare.Legend106371413,381
flare.Shepherd110588965,30
flare.Sorbent114597158,14
flare.Effigy103265874,20
flare.StockTrader110657835,153
flare.EconomicPolicy106656741,39
flare.Anticoagulant102718259,40
flare.Meteorite109352849,174
flare.Scene108645963,15928
flare.Forfeit100205891,14
flare.ElectricMotor103273061,125
flare.Originator110383816,2938
flare.NationalPark108600992,3031
flare.Dish107557434,1170
flare.Outline108612786,586
flare.Cyclone114521302,371
flare.ChangeOfLocation107311115,148
flare.ElectricLocomotive103272562,583
flare.Window104587648,239
flare.Effect105917477,111
flare.Miner110319796,531
