id,value
flare.PhysicalEntity100001930,41470
flare.PhysicalEntity100001930.Object100002684,40421
flare.Object100002684.Whole100003553,30680
flare.Abstraction100002137,26575
flare.Whole100003553.LivingThing100004258,19683
flare.LivingThing100004258.Organism100004475,19680
flare.PhysicalEntity100001930.CausalAgent100007347,19540
flare.Person100007846,19281
flare.Abstraction100002137.Group100031264,13697
flare.YagoGeoEntity,13675
flare.Group100031264.SocialGroup107950920,12347
flare.Organization108008335,11200
flare.Artifact100021939,11160
flare.Object100002684.Location100027167,10781
flare.Location100027167.Region108630985,9792
flare.Abstraction100002137.PsychologicalFeature100023100,9056
flare.Region108630985.District108552138,7780
flare.Region108630985.GeographicalArea108574314,7232
flare.PsychologicalFeature100023100.Event100029378,7100
flare.District108552138.AdministrativeDistrict108491826,7048
flare.Person100007846.Contestant109613191,6180
flare.GeographicalArea108574314.Tract108673395,5916
flare.Organization108008335.Institution108053576,5853
flare.Person100007846.Leader109623038,5664
flare.Artifact100021939.Instrumentality103575240,5571
flare.Person100007846.Intellectual109621545,5532
flare.Intellectual109621545.Scholar110557854,5381
flare.Tract108673395.Site108651247,5162
flare.Scholar110557854.Alumnus109786338,5131
flare.Person100007846.Worker109632518,5023
flare.Abstraction100002137.Communication100033020,4993
flare.Contestant109613191.Athlete109820263,4976
flare.Contestant109613191.Player110439851,4792
flare.Worker109632518.SkilledWorker110605985,4485
flare.GeographicalArea108574314.UrbanArea108675967,4419
flare.UrbanArea108675967.Municipality108626283,4412
flare.Person100007846.Communicator109610660,4392
flare.Event100029378.Act100030358,4340
flare.Institution108053576.Company108058098,4191
flare.Person100007846.Adult109605289,4184
flare.Person100007846.Creator109614315,4129
flare.Event100029378.SocialEvent107288639,3742
flare.Municipality108626283.City108524735,3726
flare.Person100007846.Entertainer109616922,3583
flare.Entertainer109616922.Performer110415638,3534
flare.Creator109614315.Artist109812338,3172
flare.Instrumentality103575240.Medium106254669,3095
flare.Leader109623038.Head110162991,3044
flare.SkilledWorker110605985.Official110372373,3012
flare.Region108630985.Area108497294,2967
flare.Communicator109610660.Writer110794014,2954
flare.Act100030358.Activity100407535,2912
flare.Artifact100021939.Creation103129123,2835
flare.Leader109623038.Politician110450303,2773
flare.Head110162991.Administrator109770949,2741
flare.PsychologicalFeature100023100.Cognition100023271,2741
flare.Creation103129123.Product104007894,2738
flare.Person100007846.Owner110389398,2500
flare.Owner110389398.Holder110180178,2500
flare.Holder110180178.Officeholder110371450,2498
flare.Person100007846.Traveler109629752,2364
flare.Organization108008335.Unit108189659,2342
flare.Athlete109820263.FootballPlayer110101634,2341
flare.Artist109812338.Musician110339966,2247
flare.SocialEvent107288639.Show106619065,2210
flare.Person100007846.Female109619168,2178
flare.Female109619168.Woman110787470,2177
flare.Performer110415638.Actor109765278,2069
flare.Communication100033020.WrittenCommunication106349220,2059
flare.YagoGeoEntity.Structure104341686,1983
flare.Administrator109770949.Executive110069645,1955
flare.Performer110415638.Musician110340312,1870
flare.Adult109605289.Professional110480253,1862
flare.Organization108008335.Association108049401,1693
flare.Activity100407535.Diversion100426928,1673
flare.Product104007894.Movie106613686,1670
flare.Abstraction100002137.Relation100031921,1668
flare.SkilledWorker110605985.Serviceman110582746,1617
flare.Location100027167.Region108630039,1533
flare.Abstraction100002137.Measure100033615,1526
flare.SocialEvent107288639.Contest107456188,1522
flare.Instrumentality103575240.Device103183080,1502
flare.Institution108053576.EducationalInstitution108276342,1453
flare.Musician110340312.Singer110599806,1405
flare.Cognition100023271.Content105809192,1399
flare.YagoGeoEntity.Facility103315023,1376
flare.Relation100031921.Part113809207,1366
flare.Serviceman110582746.MilitaryOfficer110317007,1358
flare.Area108497294.Center108523483,1325
flare.Communication100033020.Message106598915,1322
flare.Communication100033020.AuditoryCommunication107109019,1314
flare.Executive110069645.Minister110320863,1282
flare.Municipality108626283.Town108665504,1281
flare.Organization108008335.Enterprise108056231,1276
flare.Center108523483.Seat108647945,1251
flare.Act100030358.Action100037396,1215
flare.Enterprise108056231.Business108061042,1211
flare.Communicator109610660.Negotiator110351874,1208
flare.Negotiator110351874.Representative110522035,1200
flare.Medium106254669.Album106591815,1200
flare.Absentee109757653.Exile110071332,1197
flare.Traveler109629752.Absentee109757653,1197
flare.AuditoryCommunication107109019.Music107020895,1184
flare.WrittenCommunication106349220.Writing106362953,1183
flare.Association108049401.Club108227214,1177
flare.Unit108189659.AdministrativeUnit108077292,1138
flare.Part113809207.LanguageUnit106284225,1108
flare.Product104007894.Work104599396,1079
flare.Action100037396.Change100191142,1076
flare.Leader109623038.Politician110451263,1074
flare.Work104599396.Publication106589574,1071
flare.Contestant109613191.Winner110782940,1054
flare.Winner110782940.Medalist110305062,1054
flare.Cognition100023271.Ability105616246,1038
flare.Representative110522035.HeadOfState110164747,1001
flare.Content105809192.Idea105833840,988
flare.Person100007846.Peer109626238,978
flare.Peer109626238.Associate109816771,966
flare.Person100007846.Disputant109615465,943
flare.Disputant109615465.Reformer110515194,933
flare.Musician110339966.Composer109947232,921
flare.EducationalInstitution108276342.University108286569,918
flare.Change100191142.ChangeOfState100199130,897
flare.Professional110480253.Lawyer110249950,895
flare.Administrator109770949.Director110014939,890
flare.Music107020895.MusicalComposition107037465,889
flare.Contest107456188.Game100456199,882
flare.Abstraction100002137.Attribute100024264,875
flare.Traveler109629752.Migrant110314952,870
flare.AdministrativeUnit108077292.Agency108337324,868
flare.WrittenCommunication106349220.Writing106359877,864
flare.Person100007846.Scientist110560637,863
flare.Migrant110314952.Emigrant110051975,848
flare.Location100027167.Point108620061,846
flare.Ability105616246.Creativity105624700,833
flare.Creator109614315.Producer110480018,830
flare.Producer110480018.FilmMaker110088390,830
flare.Communication100033020.Signal106791372,830
flare.EducationalInstitution108276342.School108276720,822
flare.Writing106359877.CodingSystem106353757,821
flare.ChangeOfState100199130.Beginning100235435,816
flare.CodingSystem106353757.Code106355894,815
flare.Code106355894.Software106566077,815
flare.Beginning100235435.Introduction100238022,813
flare.Building102913152,802
flare.MusicalComposition107037465.Song107048000,801
flare.Person100007846.Expert109617867,792
flare.Instrumentality103575240.Conveyance103100490,790
flare.Contestant109613191.Rival110533013,786
flare.Reformer110515194.Militant110315837,776
flare.Athlete109820263.BasketballPlayer109842047,775
flare.Conveyance103100490.Vehicle104524313,744
flare.Writer110794014.Journalist110224578,734
flare.Preserver110466918.Defender109614684,733
flare.Person100007846.Preserver110466918,733
flare.Person100007846.Unfortunate109630641,727
flare.Creativity105624700.Imagination105625465,725
flare.Imagination105625465.ImaginaryBeing109483738,723
flare.Unit108189659.Team108208560,721
flare.Actor109765278.Actress109767700,719
flare.Idea105833840.Concept105835747,717
flare.Diversion100426928.Game100430606,716
flare.Game100430606.ComputerGame100458890,710
flare.HeadOfState110164747.President110467179,701
flare.Organization108008335.MusicalOrganization108246613,698
flare.PrintMedia106263609.Press106263369,697
flare.Medium106254669.PrintMedia106263609,697
flare.ImaginaryBeing109483738.FictionalCharacter109587565,680
flare.Professional110480253.Educator110045713,671
flare.Writer110794014.Scriptwriter110564905,665
flare.Scriptwriter110564905.Screenwriter110564400,665
flare.SocialGroup107950920.Gathering107975026,651
flare.Device103183080.Machine103699975,651
flare.Facility103315023.Station104306080,650
flare.PhysicalEntity100001930.Matter100020827,641
flare.Associate109816771.Colleague109935990,630
