id,value
flare.Person100007846.Person100007846,115
flare.Compound114818238.Compound114818238,36
flare.Device103183080.Device103183080,34
flare.Activity100407535.Activity100407535,32
flare.Musician110340312.Musician110340312,30
flare.Artifact100021939.Artifact100021939,27
flare.OrganicCompound114727670.OrganicCompound114727670,27
flare.Medicine103740161.Medicine103740161,26
flare.Building102913152.Building102913152,26
flare.Happening107283608.Happening107283608,25
flare.Expert109617867.Expert109617867,24
flare.Structure104341686.Structure104341686,24
flare.Athlete109820263.Athlete109820263,24
flare.Specialist110632576.Specialist110632576,23
flare.SkilledWorker110605985.SkilledWorker110605985,22
flare.Salt115010703.Salt115010703,21
flare.Material114580897.Material114580897,20
flare.Company108058098.Company108058098,20
flare.Leader109623038.Leader109623038,19
flare.Craftsman109974648.Craftsman109974648,19
flare.TimePeriod115113229.TimePeriod115113229,18
flare.Traveler109629752.Traveler109629752,18
flare.Collection107951464.Collection107951464,17
flare.State100024720.State100024720,17
flare.Official110372373.Official110372373,17
flare.Act100030358.Act100030358,16
flare.Message106598915.Message106598915,16
flare.Car102958343.Car102958343,16
flare.Organization108008335.Organization108008335,16
flare.Scientist110560637.Scientist110560637,16
flare.Insect102159955.Insect102159955,16
flare.Tract108673395.Tract108673395,15
flare.Ship104194289.Ship104194289,15
flare.Communicator109610660.Communicator109610660,15
flare.Player110439851.Player110439851,14
flare.GroupAction101080366.GroupAction101080366,14
flare.Writer110794014.Writer110794014,14
flare.Substance100020090.Substance100020090,14
flare.Statement106722453.Statement106722453,14
flare.Quality104723816.Quality104723816,14
flare.School108276720.School108276720,14
flare.Condition113920835.Condition113920835,14
flare.Communication100033020.Communication100033020,13
flare.Facility103315023.Facility103315023,13
flare.Drug103247620.Drug103247620,13
flare.Maker110284064.Maker110284064,13
flare.Criminal109977660.Criminal109977660,13
flare.GeologicalFormation109287968.GeologicalFormation109287968,13
flare.BodyOfWater109225146.BodyOfWater109225146,12
flare.Specialist110631941.Specialist110631941,12
flare.Container103094503.Container103094503,12
flare.Property104916342.Property104916342,12
flare.Adult109605289.Adult109605289,12
flare.Biologist109855630.Biologist109855630,12
flare.Placental101886756.Placental101886756,12
flare.Employee110053808.Employee110053808,12
flare.Group100031264.Group100031264,12
flare.Worker109632518.Worker109632518,12
flare.Writing106362953.Writing106362953,12
flare.SocialGroup107950920.SocialGroup107950920,12
flare.Cognition100023271.Cognition100023271,11
flare.Garment103419014.Garment103419014,11
flare.Machine103699975.Machine103699975,11
flare.Artist109812338.Artist109812338,11
flare.Singer110599806.Singer110599806,11
