id,value
flare.LivingThing100004258.Organism100004475,1216428
flare.PhysicalEntity100001930.CausalAgent100007347,1216412
flare.Object100002684.Whole100003553,686690
flare.Group100031264.SocialGroup107950920,333682
flare.Tract108673395.Site108651247,270489
flare.District108552138.AdministrativeDistrict108491826,259751
flare.Scholar110557854.Alumnus109786338,162136
flare.Player110439851.FootballPlayer110101634,132900
flare.Athlete109820263.FootballPlayer110101634,132900
flare.Settlement108672562.Village108672738,121358
flare.Medium106254669.Album106591815,113531
flare.Show106619065.Movie106613686,84859
flare.Product104007894.Movie106613686,84859
flare.Leader109623038.Politician110450303,81830
flare.Artifact100021939.Structure104341686,77811
flare.YagoGeoEntity.Structure104341686,77811
flare.Institution108053576.Company108058098,75961
flare.Municipality108626283.City108524735,73089
flare.Communicator109610660.Writer110794014,54242
flare.Organism100004475.Animal100015388,52139
flare.root.Person100007846,52129
flare.AdministrativeDistrict108491826.Commune108541609,50362
flare.Adult109605289.Woman110787470,49292
flare.Female109619168.Woman110787470,49292
flare.Performer110415638.Actor109765278,44556
flare.TimePeriod115113229.Season115239579,41529
flare.Official110372373.Officeholder110371450,40853
flare.Holder110180178.Officeholder110371450,40853
flare.Instrumentality103575240.Medium106254669,39151
flare.Contestant109613191.Player110439851,38598
flare.Winner110782940.Medalist110305062,38083
flare.Municipality108626283.Town108665504,37387
flare.Creator109614315.Artist109812338,34685
flare.Stream109448361.River109411430,34646
flare.Musician110340312.Singer110599806,34010
flare.Terminal104412901.RailwayStation104049098,33179
flare.Association108049401.Club108227214,32964
flare.AdministrativeDistrict108491826.Municipality108626283,31704
flare.UrbanArea108675967.Municipality108626283,31704
flare.Actor109765278.Actress109767700,30982
flare.Migrant110314952.Emigrant110051975,30256
flare.Absentee109757653.Exile110071332,28284
flare.Administrator109770949.Director110014939,27473
flare.root.Organization108008335,26866
flare.root.Building102913152,26839
flare.Publication106589574.Book106410904,25437
flare.Associate109816771.Colleague109935990,25217
flare.Property105849040.Feature105849789,24199
flare.Professional110480253.Lawyer110249950,23960
flare.Region108630985.Area108497294,23682
flare.Educator110045713.Academician109759069,23552
flare.Representation105926676.Image105928118,23353
flare.Contest107456188.Game100456199,23089
flare.Artist109812338.Painter110391653,23006
flare.Writer110794014.Journalist110224578,22924
flare.NaturalElevation109366317.Mountain109359803,22551
flare.Musician110339966.Composer109947232,22237
flare.Writer110794014.Poet110444194,21976
flare.Occupation100582388.Career100583246,21036
flare.EducationalInstitution108276342.University108286569,20526
flare.Region108630985.District108552138,20435
flare.BroadcastingStation102903405.RadioStation104044119,19941
flare.PsychologicalFeature100023100.Event100029378,19892
flare.Beginning100235435.Introduction100238022,19713
flare.Executive110069645.Minister110320863,19275
flare.Athlete109820263.Cricketer109977326,18457
flare.SecondarySchool108284481.SeniorHighSchool108409617,17933
flare.Player110439851.HockeyPlayer110179291,17447
flare.Athlete109820263.HockeyPlayer110179291,17447
flare.Writer110794014.Novelist110363573,17220
flare.GeneralOfficer110125786.General110123844,17151
flare.Serviceman110582746.MilitaryOfficer110317007,17148
flare.BasketballPlayer109842047.Forward110105733,16980
flare.MusicalComposition107037465.Song107048000,16899
flare.PlaceOfWorship103953416.Church103028079,16867
flare.Dwelling103259505.House103544360,16667
flare.Building102913152.House103544360,16667
flare.FilmMaker110088390.FilmDirector110088200,16618
flare.Scholar110557854.Historian110177150,16243
flare.Game100430606.ComputerGame100458890,16103
flare.CivilAuthority110541833.Mayor110303814,16068
flare.Politician110451263.Mayor110303814,16068
flare.Symbol106806469.Award106696483,15966
flare.Scene108645963.Venue108677628,15908
flare.Vote100182213.Election100181781,15863
flare.Section108648322.Vicinity108641113,15624
flare.Fiction106367107.Novel106367879,15207
flare.GroupAction101080366.Conflict100958896,15070
flare.Morpheme106306233.Ending106308765,15013
flare.Preserver110466918.Defender109614684,14769
flare.Organism100004475.Plant100017222,14729
flare.Depository103177349.Museum103800563,14723
flare.ImaginaryBeing109483738.FictionalCharacter109587565,14451
flare.Reformer110515194.Militant110315837,14436
flare.Airfield102687992.Airport102692232,14186
flare.Land109334396.Island109316454,13977
flare.Scriptwriter110564905.Screenwriter110564400,13604
flare.Official110372373.Judge110225219,13307
flare.Adjudicator109769636.Judge110225219,13307
flare.HeadOfState110164747.President110467179,13120
flare.SocialEvent107288639.Contest107456188,13017
flare.AdministrativeDistrict108491826.Township108672199,12814
flare.Tract108673395.Park108615149,12734
flare.Organization108008335.Party108256968,12401
flare.BodyOfWater109225146.Lake109328904,12330
flare.Broadcasting106276697.Television106277280,12197
flare.Athlete109820263.BasketballPlayer109842047,12114
flare.Unit108189659.Team108208560,11974
flare.Priest110470779.Bishop109857200,11686
flare.Musician110340312.Guitarist110151760,11618
flare.Contest107456188.Championship107457834,11560
flare.EducationalInstitution108276342.School108276720,11500
flare.Maker110284064.Manufacturer110292316,11179
flare.Artist109812338.Musician110339966,11051
flare.Entertainment100429048.Show100520257,11023
flare.Senator110578471.StateSenator110650076,10948
flare.Gathering107975026.Community108223802,10906
flare.Ruler110541229.Sovereign110628644,10654
flare.HeadOfState110164747.Sovereign110628644,10654
flare.Thrower110709529.Pitcher110435988,10602
flare.Ballplayer109835506.Pitcher110435988,10602
flare.Contest107456188.Tournament107464725,10533
flare.LepidopterousInsect102274024.Moth102283201,10435
flare.Highway103519981.Expressway103306610,10371
flare.Communication100033020.Language106282651,10222
flare.Press106263369.Newspaper106267145,10216
flare.Politician110451263.Governor110140314,10079
flare.MilitaryAction100952963.Battle100953559,9706
flare.Publication106589574.Magazine106595351,9547
flare.Press106263369.Magazine106595351,9547
flare.Structure104341686.Stadium104295881,9521
flare.Professional110480253.Educator110045713,9354
flare.MedicalPractitioner110305802.Doctor110020890,9091
flare.Organization108008335.MusicalOrganization108246613,9069
flare.EnlistedPerson110058777.Soldier110622053,9024
flare.Rival110533013.Champion109906704,8941
flare.MaleAristocrat110285135.Knight110238375,8879
flare.Assistant109815790.Model110324560,8763
flare.Player110439851.SoccerPlayer110618342,8714
flare.Athlete109820263.SoccerPlayer110618342,8714
flare.HockeyPlayer110179291.Goalkeeper110134001,8648
flare.SoccerPlayer110618342.Goalkeeper110134001,8648
flare.Creator109614315.Architect109805475,8639
flare.MilitaryOfficer110317007.CommandingOfficer109941964,8578
flare.Business108061042.Manufacturer108060446,8555
flare.Administrator109770949.Executive110069645,8457
flare.Form106290637.Abbreviation107091587,8457
flare.Scholar110557854.Philosopher110423589,8420
flare.Section106392001.Episode106396330,8240
flare.Composer109947232.Songwriter110624540,8176
flare.Diplomat110013927.Ambassador109787534,8064
flare.Vertebrate101471682.Bird101503061,8041
flare.Code106355894.Software106566077,7957
flare.Person100007846.Scientist110560637,7882
flare.TimePeriod115113229.Festival115162388,7813
flare.Performer110415638.Comedian109940146,7789
flare.Trainer110722575.Coach109931640,7771
flare.Kind105839024.Genus105845013,7516
flare.Athlete109820263.Swimmer110683349,7338
flare.EndProduct103287178.Oeuvre103841417,7315
flare.Unit108189659.MilitaryUnit108198398,7280
flare.GoodPerson110138767.Saint110546850,7200
flare.Diversion100426928.Sport100523513,7100
flare.Writer110794014.Dramatist110030277,7069
flare.Pedaler110411163.Cyclist109986189,7001
flare.PoliticalUnit108359949.State108168978,6944
flare.Communicator109610660.Presenter110466387,6859
flare.Combatant109939313.Boxer109870208,6853
flare.Contestant109613191.Athlete109820263,6808
flare.Musician110340312.Pianist110430665,6804
flare.Kind105839024.Type105840188,6768
flare.Group100031264.EthnicGroup107967382,6634
flare.Unfortunate109630641.Prisoner110476086,6631
flare.Player110439851.Ballplayer109835506,6624
flare.Athlete109820263.Ballplayer109835506,6624
flare.Contestant109613191.Rival110533013,6610
flare.MilitaryOfficer110317007.ArmyOfficer109809749,6592
flare.DramaticComposition107007684.Play107007945,6548
flare.Linguist110264219.Translator110725280,6501
flare.Artist109812338.Sculptor110566072,6475
flare.Specialist110631941.InteriorDesigner110210648,6425
flare.Clergyman109927451.Priest110470779,6385
flare.Location100027167.Region108630039,6371
flare.Tract108673395.Subdivision108674251,6347
flare.Publication106589574.Periodical106593296,6332
flare.Season115239579.FootballSeason115240998,6300
flare.Negotiator110351874.Representative110522035,6246
flare.Person100007846.Engineer109615807,6229
flare.TimePeriod115113229.Year115203791,6196
flare.Movie106613686.Documentary106616806,6189
flare.Artist109812338.Photographer110426749,6173
